"Year","Area","Street","Street.2"
2011,"Birmingham","Southparade E5  E4  Cc  Dd  E5  90 Towncentre Suttoncoldfield",""
2011,"Birmingham","Southparadesuttoncoldfield",""
2011,"Birmingham","Southparadesuttoncoldfield",""
2011,"Birmingham","Southparadesuttontowncentre",""
2011,"Birmingham","Southparade Suttoncoldfield",""
2011,"Birmingham","Southparade Suttoncoldfield",""
2011,"Birmingham","Southparade Suttoncoldfield",""
2011,"Birmingham","Southparade Suttoncoldfield",""
2011,"Birmingham","Southparade Suttoncoldfield",""
2011,"Birmingham","Southparade Suttoncoldfield",""
2011,"Birmingham","Southparade Suttoncoldfield",""
2011,"Birmingham","Southparade Suttoncoldfield",""
2011,"Birmingham","Southparade Suttoncoldfield",""
2011,"Birmingham","Southparade Suttoncoldfield",""
2011,"Birmingham","Southparade Suttoncoldfield",""
2011,"Birmingham","Southparade Suttontowncentre",""
2011,"Birmingham","Southparade Towncentre Suttoncoldfield",""
2011,"Birmingham","road.Stornawayroadcastlevale",""
2011,"Birmingham","str.Streetleyroaderdington",""
2011,"Birmingham","Sumburghcroft",""
2011,"Birmingham","Suttoncoldfieldtowncentre",""
2011,"Birmingham","Suttoncoldfieldtowncentre",""
2011,"Birmingham","road.Suttonnewroad",""
2011,"Birmingham","road.Suttonnewroaderdington",""
2011,"Birmingham","road.Suttonnewroaderdington",""
2011,"Birmingham","road.Suttonnewroaderdington",""
2011,"Birmingham","road.Suttonnewroad Erdington B Ham",""
2011,"Birmingham","Suttonparade",""
2011,"Birmingham","Suttonparade",""
2011,"Birmingham","Suttonparade",""
2011,"Birmingham","Suttontowncentre",""
2011,"Birmingham","Suttontowncentre",""
2011,"Birmingham","Suttontowncentre",""
2011,"Birmingham","Suttontowncentre",""
2011,"Birmingham","Suttontowncentre",""
2011,"Birmingham","Tedburycrescent",""
2011,"Birmingham","road.Tesco Sexpress Walsallroad Fouroaks Suttoncoldfield",""
2011,"Birmingham","Theparade",""
2011,"Birmingham","Theparade",""
2011,"Birmingham","Theparade",""
2011,"Birmingham","Theparadesutton",""
2011,"Birmingham","Theparadesuttoncoldfield",""
2011,"Birmingham","road.Theparade Birminghamroad Suttoncoldfield",""
2011,"Birmingham","Theparade Suttoncoldfield",""
2011,"Birmingham","Theparade Suttoncoldfield",""
2011,"Birmingham","Theparade Suttoncoldfield",""
2011,"Birmingham","Theparade Suttoncoldfield",""
2011,"Birmingham","Theparade Suttoncoldfield",""
2011,"Birmingham","Theparade Suttoncoldfield",""
2011,"Birmingham","Theparade Suttontowncentre",""
2011,"Birmingham","Theparade    ",""
2011,"Birmingham","Theridgeway",""
2011,"Birmingham","Theridgeway",""
2011,"Birmingham","Theridgeway",""
2011,"Birmingham","Theswanph",""
2011,"Birmingham","road.Turnhouseroad",""
2011,"Birmingham","road.Upperhollandroad",""
2011,"Birmingham","Victoriard",""
2011,"Birmingham","Victoriard",""
2011,"Birmingham","Victoriard",""
2011,"Birmingham","Walshdrive Walmley Suttoncoldfield",""
2011,"Birmingham","Warrenfarmrd",""
2011,"Birmingham","road.Warrenfarmroad",""
2011,"Birmingham","Whitehousecommonrd",""
2011,"Birmingham","Wiltonrd",""
2011,"Birmingham","road.Windsorhouse Jarvisroad Erdington",""
2011,"Birmingham","road.Wittonlodgeroad",""
2011,"Birmingham","road.Wittonlodgeroad Erdington",""
2011,"Birmingham","road.Yorkroad",""
2011,"Birmingham","Abdonave",""
2011,"Birmingham","road.Alcesterroadsouth",""
2011,"Birmingham","Alvechurchrd",""
